
   # PLAYER                  :  RATING  POINTS  PLAYED   (%)  CFS(%)     W    D     L
   1 Apodex85                :  2989.5   176.0     182    97     ---   175    2     5
   2 nihalsarin2004          :  2903.7    37.0      41    90     ---    36    2     3
   3 penguingim1             :  2851.7    84.5     128    66     ---    81    7    40
   4 OhanyanEminChess        :  2845.7    54.0      79    68     ---    53    2    24
   5 Blazinq                 :  2829.4   225.5     248    91     ---   224    3    21
   6 ChadFox                 :  2816.0    19.0      20    95     ---    19    0     1
   7 tamojerry               :  2792.2    29.5      44    67     ---    29    1    14
   8 catask                  :  2791.0    33.0      38    87     ---    32    2     4
   9 aaryan_varshney         :  2763.9    27.0      34    79     ---    27    0     7
  10 achessbot3              :  2756.1    10.0      11    91     ---    10    0     1
  11 chessmaster2006         :  2754.6    30.5      56    54     ---    30    1    25
  12 ShadowKing78            :  2741.7   779.0    1113    70     ---   755   48   310
  13 Ragehunter              :  2740.0   404.5     487    83     ---   400    9    78
  14 anhghOst24              :  2731.4   334.0     494    68     ---   326   16   152
  15 Isaba-asrab             :  2714.8     7.5       8    94     ---     7    1     0
  16 sjdkdj1132              :  2712.0     7.0       8    88     ---     7    0     1
  17 LiamPutnam2008          :  2710.5   914.5    1251    73     ---   882   65   304
  18 kobeparaunda191         :  2706.0     8.0       9    89     ---     8    0     1
  19 chessbottler            :  2704.3     4.5       5    90     ---     4    1     0
  20 anonymousblitz          :  2675.8   270.0     358    75     ---   266    8    84
  21 dotaislife              :  2670.1    81.0     100    81     ---    81    0    19
  22 bugdiig-ni-shaana       :  2662.7    28.0      31    90     ---    28    0     3
  23 Ediz_Gurel              :  2650.2   173.0     227    76     ---   169    8    50
  24 Zhigalko_Sergei         :  2649.9    15.0      21    71     ---    15    0     6
  25 Bardyk01                :  2642.1   203.0     410    50     ---   195   16   199
  26 afanoffun               :  2641.0   783.5    1008    78     ---   764   39   205
  27 cheetah-46              :  2641.0     5.0      10    50     ---     5    0     5
  28 Misoswittsc             :  2641.0     1.0       2    50     ---     1    0     1
  29 iamstraw                :  2636.4    19.0      30    63     ---    18    2    10
  30 finexa38                :  2628.7    10.0      13    77     ---    10    0     3
  31 Mishka_The_Great        :  2628.7   225.5     487    46     ---   211   29   247
  32 genner                  :  2628.4    22.5      50    45     ---    22    1    27
  33 A123132                 :  2619.9     4.0       5    80     ---     4    0     1
  34 pigu                    :  2619.2    26.5      44    60     ---    25    3    16
  35 XumuK69                 :  2616.2    10.5      13    81     ---    10    1     2
  36 sonnythehedgehog        :  2609.9    64.5     115    56     ---    60    9    46
  37 Fritzi_2003             :  2605.6    24.5      41    60     ---    23    3    15
  38 The-Dancing-Joker       :  2604.5     1.0       5    20     ---     1    0     4
  39 greennight              :  2600.8    49.0      90    54     ---    47    4    39
  40 bugfan                  :  2599.3    23.5      24    98     ---    23    1     0
  41 Italianchessstar        :  2599.0    31.5      46    68     ---    31    1    14
  42 toivok3                 :  2594.2    15.5      20    78     ---    15    1     4
  43 Volleybot               :  2592.9  2459.5    3253    76     ---  2384  151   718
  44 lion2006-45             :  2589.4    22.0      34    65     ---    21    2    11
  45 CreatureOfTheNight26    :  2586.7     8.0      10    80     ---     8    0     2
  46 Tanatov_2006            :  2586.6     6.0       8    75     ---     6    0     2
  47 mithun                  :  2578.5     4.0       5    80     ---     4    0     1
  48 CollectorOfGarbage      :  2576.9   340.0     631    54     ---   323   34   274
  49 Clash_line              :  2576.9    31.0      57    54     ---    30    2    25
  50 DelaYisi                :  2571.6     5.0       7    71     ---     5    0     2
  51 Andrey11976             :  2567.8   100.5     162    62     ---    98    5    59
  52 LoveFifi                :  2564.9     4.0       6    67     ---     4    0     2
  53 ARM__55555              :  2562.5    49.0      72    68     ---    48    2    22
  54 Pantoef                 :  2560.2    44.5      61    73     ---    42    5    14
  55 AlexanderL1993          :  2560.2     8.0      12    67     ---     8    0     4
  56 Illumate_tops           :  2556.3    18.0      26    69     ---    18    0     8
  57 bubeliang               :  2554.6    16.5      23    72     ---    16    1     6
  58 koziavkaspeedrun        :  2554.1     5.0       6    83     ---     5    0     1
  59 NightOFzero             :  2551.1    18.0      19    95     ---    18    0     1
  60 maybe_maybe             :  2550.2   159.5     264    60     ---   158    3   103
  61 ultraking1              :  2548.1    48.5      60    81     ---    48    1    11
  62 uSeRnAmEnOtAvAiL        :  2547.6    22.0      39    56     ---    20    4    15
  63 The_Void_Which_Binds    :  2547.5  1528.5    2212    69     ---  1469  119   624
  64 Dr_Martic               :  2544.2     2.5       4    62     ---     2    1     1
  65 Tana_to_proplati        :  2543.7   237.0     276    86     ---   234    6    36
  66 rusureeric              :  2542.4   182.0     293    62     ---   180    4   109
  67 Raven8888               :  2542.4     1.0       2    50     ---     1    0     1
  68 RoadToFM-L              :  2542.4    52.5      79    66     ---    51    3    25
  69 MereseBerserkNhi        :  2540.6   612.0    1189    51     ---   588   48   553
  70 inamot                  :  2537.6    69.0     103    67     ---    67    4    32
  71 K1BR1T_N1               :  2534.7   230.5     368    63     ---   222   17   129
  72 AnIndianChessplayer     :  2534.1    21.5      37    58     ---    20    3    14
  73 barcaf                  :  2531.7     9.0      10    90     ---     9    0     1
  74 pr0methazine            :  2530.2   425.0     870    49     ---   400   50   420
  75 bluespike               :  2526.9    62.0      70    89     ---    62    0     8
  76 Ban_yiyen_IS_BACKKKK    :  2523.5     3.0       5    60     ---     3    0     2
  77 TackoFall               :  2523.0   127.5     228    56     ---   124    7    97
  78 Mitrabha                :  2519.5   193.5     310    62     ---   187   13   110
  79 trobeo                  :  2518.7    68.5     100    68     ---    67    3    30
  80 SpikeTooGoodAtTennis    :  2518.6    57.5      71    81     ---    55    5    11
  81 SalihEke                :  2517.6    69.5     120    58     ---    68    3    49
  82 chess-art-us            :  2515.5    99.5     149    67     ---    97    5    47
  83 Mirakel05               :  2515.3   759.0    1194    64     ---   742   34   418
  84 Praggnanandhaachess     :  2514.9     3.0       5    60     ---     3    0     2
  85 Dr_mARtIk               :  2511.9    31.5      46    68     ---    31    1    14
  86 impogthefunnyfrog       :  2511.6   440.0     666    66     ---   426   28   212
  87 Mar_12_Mar              :  2507.2    27.0      63    43     ---    25    4    34
  88 Katarina0TP             :  2503.9     1.0       3    33     ---     1    0     2
  89 KobeVDH                 :  2499.8    45.0      68    66     ---    43    4    21
  90 GGbers                  :  2498.0    53.5      77    69     ---    52    3    22
  91 bijiy                   :  2496.8   495.5     923    54     ---   481   29   413
  92 MrKooshaJ               :  2495.9    21.0      28    75     ---    21    0     7
  93 Chesswarrior31          :  2495.4    49.0      74    66     ---    49    0    25
  94 ManuDavid2910           :  2493.1   159.0     263    60     ---   157    4   102
  95 W7W7W7W7W7              :  2492.3   291.5     466    63     ---   286   11   169
  96 agora_h                 :  2490.2   145.0     278    52     ---   139   12   127
  97 klari64                 :  2489.7    48.5      66    73     ---    47    3    16
  98 perennialquest          :  2489.5    41.5      80    52     ---    41    1    38
  99 Jennie_tooquickforya    :  2482.3   110.5     181    61     ---   102   17    62
 100 B0103232338             :  2481.2     4.5      12    38     ---     4    1     7
 101 thujer                  :  2480.7   229.0     419    55     ---   225    8   186
 102 Dynamirock              :  2480.6    34.0      39    87     ---    33    2     4
 103 ie1                     :  2479.6    52.5     110    48     ---    51    3    56
 104 HaalandaiseSauce        :  2479.0   164.0     296    55     ---   160    8   128
 105 PinguOnTheIce           :  2476.8     7.0      18    39     ---     6    2    10
 106 ligotti2006             :  2473.7    31.0     109    28     ---    28    6    75
