
   # PLAYER                  :  RATING  POINTS  PLAYED   (%)  CFS(%)    W    D    L
   1 AstemirYuanov77         :  2846.9    12.5      13    96     ---   12    1    0
   2 JanDargin               :  2807.6    12.5      13    96     ---   12    1    0
   3 shhpr22                 :  2777.4     5.0       6    83     ---    4    2    0
   4 KTURJ                   :  2760.0    27.0      29    93     ---   27    0    2
   5 Dr_blablabla            :  2728.2   100.5     108    93     ---   96    9    3
   6 Syahrizadamb            :  2691.1     1.0       2    50     ---    1    0    1
   7 Victor1953              :  2689.7    12.0      13    92     ---   11    2    0
   8 ReiSchild               :  2684.7     6.5       8    81     ---    5    3    0
   9 Applebandit             :  2673.1     1.5       2    75     ---    1    1    0
  10 Elser1939               :  2670.6     2.5       3    83     ---    2    1    0
  11 afanoffun               :  2666.5     3.0       4    75     ---    2    2    0
  12 Ghamas                  :  2659.4    10.5      11    95     ---   10    1    0
  13 Victorz1967             :  2655.1     1.0       2    50     ---    1    0    1
  14 ferda_mravenec          :  2649.6     0.5       1    50     ---    0    1    0
  15 Haawse                  :  2639.0     1.5       2    75     ---    1    1    0
  16 Naydan2009              :  2630.0     2.5       3    83     ---    2    1    0
  17 rabbit33                :  2625.4    25.0      26    96     ---   24    2    0
  18 CapHewedy74             :  2624.7    25.0      26    96     ---   25    0    1
  19 OnTrial                 :  2622.1    77.5     101    77     ---   59   37    5
  20 uakanbur                :  2622.1     1.0       2    50     ---    0    2    0
  21 Kramfran                :  2617.6     1.5       2    75     ---    1    1    0
  22 AryPirates              :  2616.9     4.0       5    80     ---    4    0    1
  23 theluck99               :  2615.8     0.5       1    50     ---    0    1    0
  24 mismidad100             :  2613.7     0.5       1    50     ---    0    1    0
  25 ghaggy1                 :  2596.7    13.0      15    87     ---   12    2    1
  26 wallaceegromit          :  2594.6     0.5       1    50     ---    0    1    0
  27 fanfanfan               :  2594.6     0.5       1    50     ---    0    1    0
  28 thewoodpusher42         :  2594.6     0.5       1    50     ---    0    1    0
  29 DarioTalenti            :  2588.7    19.5      21    93     ---   19    1    1
